kernel,time,stdev
RawToDigi_kernel(),1516879.608,280282.8426974775
calibDigis(),914525.655,139026.74863508827
countModules(),125871.169,24437.083596066044
findClus(),4191722.733,539054.3603037325
clusterChargeCut(),183832.101,22265.041050439966
fillHitsModuleStart(),7138.828,568.3672807100896
getHits(),1823178.134,350764.6390874345
setHitsLayerStart(),349.476,259.56030701356667
countFromVector(),55030.107,9959.549631203581
multiBlockPrefixScanFirstStep(),26036.198,35253.84268568225
multiBlockPrefixScanSecondStep(),59849.88733333333,82217.69913380528
fillFromVector(),61374.106,11210.429934667272
initDoublets(),1527585.01,461748.03762986034
getDoubletsFromHisto(),8726476.432,2487527.0336260963
kernel_connect(),5080264.502,2334282.013700001
kernel_find_ntuplets(),1056429.047,422381.1452429684
finalizeBulk(),8267.988,1867.1558464174357
kernel_earlyDuplicateRemover(),282430.245,102797.8474163268
kernel_countMultiplicity(),59237.789,3011.9199365493073
kernel_fillMultiplicity(),42032.781,4616.951954524694
kernel_fillHitDetIndices(),26835.387,8790.34757490958
kernelBLFastFit(),414017.77633333334,486508.7762045576
kernelBLFit(),1645429.4246666667,1878515.07570973
kernel_classifyTracks(),80830.427,19141.71490818671
kernel_fastDuplicateRemover(),288263.449,100205.10525510457
kernel_countHitInTracks(),57683.726,13358.41058675501
kernel_fillHitInTracks(),54924.843,15110.194771225664
kernel_tripletCleaner(),109710.752,27695.271660932827
loadTracks(),39829.826,3857.010570151742
vertexFinderOneKernel(),211744.976,63372.44512867569
