kernel,time,stdev
RawToDigi_kernel(),1867836.146,280282.8426974775
calibDigis(),1036994.761,139026.74863508827
countModules(),283850.386,24437.083596066044
findClus(),10360246.564,539054.3603037325
clusterChargeCut(),296607.162,22265.041050439966
fillHitsModuleStart(),18883.251,568.3672807100896
getHits(),2122325.511,350764.6390874345
setHitsLayerStart(),12714.11,259.56030701356667
countFromVector(),309221.473,9959.549631203581
multiBlockPrefixScanFirstStep(),40322.068666666666,35253.84268568225
multiBlockPrefixScanSecondStep(),73481.602,82217.69913380528
fillFromVector(),330761.725,11210.429934667272
initDoublets(),1836493.268,461748.03762986034
getDoubletsFromHisto(),13031799.619,2487527.0336260963
kernel_connect(),7625553.591,2334282.013700001
kernel_find_ntuplets(),2433884.697,422381.1452429684
finalizeBulk(),41669.767,1867.1558464174357
kernel_earlyDuplicateRemover(),384983.625,102797.8474163268
kernel_countMultiplicity(),130930.436,3011.9199365493073
kernel_fillMultiplicity(),129814.066,4616.951954524694
kernel_fillHitDetIndices(),108686.175,8790.34757490958
kernelBLFastFit(),464106.5623333333,486508.7762045576
kernelBLFit(),1525323.3846666666,1878515.07570973
kernel_classifyTracks(),117185.701,19141.71490818671
kernel_fastDuplicateRemover(),407913.088,100205.10525510457
kernel_countHitInTracks(),218448.383,13358.41058675501
kernel_fillHitInTracks(),212373.979,15110.194771225664
kernel_tripletCleaner(),175111.581,27695.271660932827
loadTracks(),119438.992,3857.010570151742
vertexFinderOneKernel(),327751.179,63372.44512867569
